MG101-1.filtered.sorted	MG101
MG103-1.filtered.sorted	MG103
MG103-2.filtered.sorted	MG103
MG104-1.filtered.sorted	MG104
MG105-1R.filtered.sorted	MG105
MG105-2.filtered.sorted	MG105
MG105-3.filtered.sorted	MG105
MG105-4.filtered.sorted	MG105
MG105-5.filtered.sorted	MG105
MG105-6.filtered.sorted	MG105
MG105-7.filtered.sorted	MG105
MG105-8.filtered.sorted	MG105
MG106-1.filtered.sorted	MG106
MG106-2.filtered.sorted	MG106
MG106-3.filtered.sorted	MG106
MG107-10.filtered.sorted	MG107
MG107-1.filtered.sorted	MG107
MG107-2.filtered.sorted	MG107
MG107-3.filtered.sorted	MG107
MG107-4.filtered.sorted	MG107
MG107-5.filtered.sorted	MG107
MG107-6.filtered.sorted	MG107
MG107-7.filtered.sorted	MG107
MG107-8.filtered.sorted	MG107
MG107-9.filtered.sorted	MG107
MG109-1.filtered.sorted	MG109
MG109-2.filtered.sorted	MG109
MG110-1.filtered.sorted	MG110
MG111-10.filtered.sorted	MG111
MG111-11.filtered.sorted	MG111
MG111-12.filtered.sorted	MG111
MG111-13.filtered.sorted	MG111
MG111-14.filtered.sorted	MG111
MG111-15.filtered.sorted	MG111
MG111-1.filtered.sorted	MG111
MG111-2.filtered.sorted	MG111
MG111-3.filtered.sorted	MG111
MG111-4.filtered.sorted	MG111
MG111-5.filtered.sorted	MG111
MG111-6.filtered.sorted	MG111
MG111-7.filtered.sorted	MG111
MG111-8.filtered.sorted	MG111
MG111-9.filtered.sorted	MG111
MG113-10.filtered.sorted	MG113
MG113-1.filtered.sorted	MG113
MG113-2.filtered.sorted	MG113
MG113-3R.filtered.sorted	MG113
MG113-4R.filtered.sorted	MG113
MG113-5.filtered.sorted	MG113
MG113-6R.filtered.sorted	MG113
MG113-7.filtered.sorted	MG113
MG113-8.filtered.sorted	MG113
MG113-9.filtered.sorted	MG113
MG114-10.filtered.sorted	MG114
MG114-11R.filtered.sorted	MG114
MG114-12.filtered.sorted	MG114
MG114-13.filtered.sorted	MG114
MG114-14.filtered.sorted	MG114
MG114-15.filtered.sorted	MG114
MG114-1.filtered.sorted	MG114
MG114-2.filtered.sorted	MG114
MG114-3.filtered.sorted	MG114
MG114-4.filtered.sorted	MG114
MG114-5.filtered.sorted	MG114
MG114-6.filtered.sorted	MG114
MG114-7.filtered.sorted	MG114
MG114-8.filtered.sorted	MG114
MG114-9.filtered.sorted	MG114
MG115-10.filtered.sorted	MG115
MG115-11.filtered.sorted	MG115
MG115-12.filtered.sorted	MG115
MG115-13.filtered.sorted	MG115
MG115-14.filtered.sorted	MG115
MG115-15.filtered.sorted	MG115
MG115-16.filtered.sorted	MG115
MG115-17R.filtered.sorted	MG115
MG115-18.filtered.sorted	MG115
MG115-19.filtered.sorted	MG115
MG115-1.filtered.sorted	MG115
MG115-20.filtered.sorted	MG115
MG115-2.filtered.sorted	MG115
MG115-3.filtered.sorted	MG115
MG115-4.filtered.sorted	MG115
MG115-5.filtered.sorted	MG115
MG115-6.filtered.sorted	MG115
MG115-7.filtered.sorted	MG115
MG115-8.filtered.sorted	MG115
MG115-9.filtered.sorted	MG115
MG116-10.filtered.sorted	MG116
MG116-11.filtered.sorted	MG116
MG116-12.filtered.sorted	MG116
MG116-1.filtered.sorted	MG116
MG116-2.filtered.sorted	MG116
MG116-3.filtered.sorted	MG116
MG116-4.filtered.sorted	MG116
MG116-5.filtered.sorted	MG116
MG116-6.filtered.sorted	MG116
MG116-7.filtered.sorted	MG116
MG116-8.filtered.sorted	MG116
MG116-9.filtered.sorted	MG116
MG117-10.filtered.sorted	MG117
MG117-11.filtered.sorted	MG117
MG117-12.filtered.sorted	MG117
MG117-1.filtered.sorted	MG117
MG117-2.filtered.sorted	MG117
MG117-3.filtered.sorted	MG117
MG117-4.filtered.sorted	MG117
MG117-5.filtered.sorted	MG117
MG117-6.filtered.sorted	MG117
MG117-7.filtered.sorted	MG117
MG117-8.filtered.sorted	MG117
MG117-9.filtered.sorted	MG117
MG118-1.filtered.sorted	MG118
MG118-2.filtered.sorted	MG118
MG118-3.filtered.sorted	MG118
MG118-4.filtered.sorted	MG118
MG119-1.filtered.sorted	MG119
MG120-10.filtered.sorted	MG120
MG120-11-1.filtered.sorted	MG120
MG120-11-2.filtered.sorted	MG120
MG120-13.filtered.sorted	MG120
MG120-15.filtered.sorted	MG120
MG120-17.filtered.sorted	MG120
MG120-18.filtered.sorted	MG120
MG120-19.filtered.sorted	MG120
MG120-1.filtered.sorted	MG120
MG120-20.filtered.sorted	MG120
MG120-21.filtered.sorted	MG120
MG120-22.filtered.sorted	MG120
MG120-23.filtered.sorted	MG120
MG120-24.filtered.sorted	MG120
MG120-25R.filtered.sorted	MG120
MG120-26.filtered.sorted	MG120
MG120-27.filtered.sorted	MG120
MG120-28.filtered.sorted	MG120
MG120-29.filtered.sorted	MG120
MG120-2.filtered.sorted	MG120
MG120-30.filtered.sorted	MG120
MG120-31.filtered.sorted	MG120
MG120-32.filtered.sorted	MG120
MG120-33.filtered.sorted	MG120
MG120-34.filtered.sorted	MG120
MG120-3.filtered.sorted	MG120
MG120-4.filtered.sorted	MG120
MG120-5.filtered.sorted	MG120
MG120-6.filtered.sorted	MG120
MG120-7.filtered.sorted	MG120
MG120-8.filtered.sorted	MG120
MG120-9.filtered.sorted	MG120
MG121-1.filtered.sorted	MG121
MG122-1.filtered.sorted	MG122
MG122-2.filtered.sorted	MG122
MG124-1R.filtered.sorted	MG124
MG124-2.filtered.sorted	MG124
MG124-3R.filtered.sorted	MG124
MG124-4R.filtered.sorted	MG124
MG125-10.filtered.sorted	MG125
MG125-1.filtered.sorted	MG125
MG125-2.filtered.sorted	MG125
MG125-3.filtered.sorted	MG125
MG125-4.filtered.sorted	MG125
MG125-5.filtered.sorted	MG125
MG125-6.filtered.sorted	MG125
MG125-7.filtered.sorted	MG125
MG125-8.filtered.sorted	MG125
MG125-9.filtered.sorted	MG125
MG126-1.filtered.sorted	MG126
MG126-2.filtered.sorted	MG126
MG126-3.filtered.sorted	MG126
MG126-4.filtered.sorted	MG126
MG126-5.filtered.sorted	MG126
MG127-1.filtered.sorted	MG127
MG127-2.filtered.sorted	MG127
MG128-1.filtered.sorted	MG128
0121-101.filtered.sorted	peru
0122-101.filtered.sorted	peru
0373-102.filtered.sorted	peru
0375-101.filtered.sorted	peru
0418-101.filtered.sorted	ecu
0420-101.filtered.sorted	ecu
0442-101.filtered.sorted	peru
0443-101.filtered.sorted	ecu
0753-101.filtered.sorted	peru
0772-101.filtered.sorted	peru
1248-101.filtered.sorted	ecu
1256-101.filtered.sorted	ecu
1280-101.filtered.sorted	ecu
1301-101.filtered.sorted	peru
1381-101.filtered.sorted	peru
1416-101.filtered.sorted	ecu
1428-101.filtered.sorted	ecu
1469-101.filtered.sorted	peru
1470-101.filtered.sorted	peru
1472-101.filtered.sorted	peru
1478-101.filtered.sorted	peru
1520-101.filtered.sorted	peru
1547-101.filtered.sorted	ecu
1561-101.filtered.sorted	peru
1562-101.filtered.sorted	peru
1572-101.filtered.sorted	peru
1576-101.filtered.sorted	peru
1579-101.filtered.sorted	peru
1584-101.filtered.sorted	peru
1586-101.filtered.sorted	peru
1589-12.filtered.sorted	peru
1598-101.filtered.sorted	peru
1600-101.filtered.sorted	peru
1601-101.filtered.sorted	peru
1602-101.filtered.sorted	peru
1603-101.filtered.sorted	peru
1604-101.filtered.sorted	peru
1605-101.filtered.sorted	peru
1611-101.filtered.sorted	peru
1614-101.filtered.sorted	peru
1615-101.filtered.sorted	peru
1635-101.filtered.sorted	peru
1636-101.filtered.sorted	peru
1637-101.filtered.sorted	peru
1651-101.filtered.sorted	peru
1659-101.filtered.sorted	peru
1660-101.filtered.sorted	peru
1661-101.filtered.sorted	peru
1670-101.filtered.sorted	peru
1683-101.filtered.sorted	peru
1684-101.filtered.sorted	peru
1685-101.filtered.sorted	peru
1686-101.filtered.sorted	peru
1687-101.filtered.sorted	peru
1688-101.filtered.sorted	peru
1689-101.filtered.sorted	peru
1690-101.filtered.sorted	peru
1697-101.filtered.sorted	peru
1728-101.filtered.sorted	peru
1729-101.filtered.sorted	peru
1921-101.filtered.sorted	peru
1923-101.filtered.sorted	peru
1924-101.filtered.sorted	peru
1933-101.filtered.sorted	peru
1936-101.filtered.sorted	peru
1950-101.filtered.sorted	peru
1987-101.filtered.sorted	peru
2093-101.filtered.sorted	ecu
2102-101.filtered.sorted	ecu
2181-101.filtered.sorted	peru
2186-101.filtered.sorted	peru
2401-101.filtered.sorted	peru
2412-101.filtered.sorted	peru
251318-101.filtered.sorted	peru
251319-101.filtered.sorted	ecu
251320-101.filtered.sorted	ecu
251321-101.filtered.sorted	ecu
2544-101.filtered.sorted	peru
2576-101.filtered.sorted	peru
2578-101.filtered.sorted	peru
2649-101.filtered.sorted	peru
2725-101.filtered.sorted	peru
2832-101.filtered.sorted	peru
2839-101.filtered.sorted	peru
2852-101.filtered.sorted	ecu
2854-101.filtered.sorted	ecu
2857-101.filtered.sorted	ecu
2915-101.filtered.sorted	peru
2933-101.filtered.sorted	ecu
2983-101.filtered.sorted	peru
365909-101.filtered.sorted	ecu
365910-101.filtered.sorted	ecu
365911-101.filtered.sorted	ecu
365912-101.filtered.sorted	ecu
365914-101.filtered.sorted	ecu
365915-101.filtered.sorted	ecu
365916-101.filtered.sorted	ecu
365917-101.filtered.sorted	ecu
365918-101.filtered.sorted	ecu
365958-101.filtered.sorted	peru
365960-101.filtered.sorted	peru
365961-101.filtered.sorted	peru
365962-101.filtered.sorted	peru
365964-101.filtered.sorted	peru
365965-101.filtered.sorted	peru
365966-101.filtered.sorted	peru
379021-101.filtered.sorted	peru
379023-101.filtered.sorted	peru
379024-101.filtered.sorted	peru
379025-101.filtered.sorted	peru
379026-101.filtered.sorted	peru
379059-101.filtered.sorted	ecu
390519-101.filtered.sorted	ecu
390728-101.filtered.sorted	peru
390748-102.filtered.sorted	peru
407533-101.filtered.sorted	peru
407534-101.filtered.sorted	peru
407535-103.filtered.sorted	peru
407537-101.filtered.sorted	peru
407538-101.filtered.sorted	peru
407544-101.filtered.sorted	peru
407550-101.filtered.sorted	peru
407551-101.filtered.sorted	peru
407552-101.filtered.sorted	peru
407553-101.filtered.sorted	peru
407554-101.filtered.sorted	peru
503517-101.filtered.sorted	peru
503519-101.filtered.sorted	peru
503521-101.filtered.sorted	peru
503522-101.filtered.sorted	peru
503523-101.filtered.sorted	peru
503524-101.filtered.sorted	peru
