# Phi_st Means
	na	MG105	MG106	MG107	MG111	MG113	MG114	MG115	MG117	MG120_G	MG120_C	MG120_GC	MG125	MG126	peru	ecu
na		0.147705	0.151235	0.137632	0.183658	0.127106	0.148892	0.313404	0.12798	0.391593	0.366915	0.359707	0.144545	0.1624	0.271208	0.130438
MG105			0.804935	0.221382	0.213043	0.178362	0.0774377	0.593943	0.0962122	0.777672	0.879388	0.750017	0.342601	0.538554	0.281247	0.172413
MG106				0.613815	0.722923	0.657607	0.642708	0.525945	0.596796	0.768079	0.85657	0.712792	0.424829	0.502886	0.252147	0.184281
MG107					0.306296	0.204021	0.189812	0.522143	0.150316	0.686128	0.723339	0.637749	0.249515	0.38073	0.292762	0.161297
MG111						0.292769	0.195095	0.595888	0.196176	0.747907	0.844611	0.741502	0.386588	0.557014	0.298258	0.211557
MG113							0.112997	0.54755	0.0821046	0.702996	0.759477	0.663325	0.298214	0.452156	0.281896	0.1593
MG114								0.539646	0.0503375	0.673945	0.733053	0.654249	0.333897	0.474981	0.294498	0.18988
MG115									0.513386	0.209617	0.157429	0.147605	0.451741	0.460861	0.316739	0.261813
MG117										0.656852	0.699963	0.627982	0.279964	0.4128	0.29179	0.17483
MG120_G											0.425133	0.245197	0.595526	0.676625	0.328548	0.316877
MG120_C												0.174203	0.585029	0.691365	0.323051	0.283658
MG120_GC													0.528367	0.593409	0.323099	0.277015
MG125														0.185821	0.282464	0.126263
MG126															0.287088	0.161354
peru																0.148654

# Fst' Means
	na	MG105	MG106	MG107	MG111	MG113	MG114	MG115	MG117	MG120_G	MG120_C	MG120_GC	MG125	MG126	peru	ecu
na		0.136435	0.187796	0.121794	0.152093	0.10719	0.118102	0.329476	0.106416	0.404581	0.436277	0.390741	0.137903	0.179408	0.278878	0.113786
MG105			0.796254	0.172975	0.216559	0.130525	0.066901	0.616715	0.0672839	0.787954	0.886728	0.75672	0.309519	0.490451	0.351069	0.193202
MG106				0.624999	0.704018	0.666482	0.65525	0.569576	0.616165	0.758214	0.856038	0.72909	0.447829	0.514397	0.335434	0.25599
MG107					0.241074	0.151291	0.13665	0.53274	0.109905	0.673788	0.743008	0.642383	0.221177	0.336562	0.338202	0.172407
MG111						0.228563	0.173183	0.59677	0.155805	0.755275	0.853992	0.733121	0.314234	0.466566	0.357811	0.21111
MG113							0.0632497	0.557213	0.0485323	0.691008	0.774972	0.664972	0.269302	0.408902	0.329355	0.169055
MG114								0.541376	0.0209124	0.676196	0.754067	0.654338	0.281605	0.419883	0.348367	0.188794
MG115									0.519017	0.173886	0.164244	0.113114	0.45561	0.457459	0.362342	0.298977
MG117										0.655449	0.724742	0.634569	0.253707	0.383284	0.342618	0.182225
MG120_G											0.440278	0.161388	0.566449	0.601647	0.387008	0.347495
MG120_C												0.118129	0.622479	0.660241	0.412477	0.370005
MG120_GC													0.540693	0.565133	0.380804	0.329513
MG125														0.158845	0.308738	0.130834
MG126															0.33319	0.190727
peru																0.132983

# Dxy Means
	na	MG105	MG106	MG107	MG111	MG113	MG114	MG115	MG117	MG120_G	MG120_C	MG120_GC	MG125	MG126	peru	ecu
na		0.00479374	0.00492509	0.0051353	0.00576984	0.00629673	0.00589785	0.00631953	0.00489421	0.00668246	0.00645561	0.00642561	0.00553955	0.00611747	0.00667351	0.00734693
MG105			0.00785406	0.00452811	0.00611513	0.00560099	0.00470372	0.00707441	0.00330229	0.0083176	0.00884662	0.00802985	0.00509872	0.00672982	0.00593949	0.0064279
MG106				0.0069845	0.00821096	0.00863733	0.00811684	0.00638394	0.00666736	0.007947	0.00845031	0.00765718	0.00593091	0.0069526	0.00541804	0.00654891
MG107					0.00618688	0.00611852	0.00561446	0.00716118	0.00433425	0.00796076	0.00829359	0.00756062	0.00528247	0.00644005	0.0065114	0.0069892
MG111						0.00717251	0.00649785	0.00816404	0.00514359	0.00925446	0.00952363	0.00873488	0.00618842	0.00769146	0.00708224	0.00746078
MG113							0.00630368	0.00843083	0.00538054	0.00922621	0.0091819	0.00850006	0.00666873	0.00779511	0.00746106	0.00790891
MG114								0.0079523	0.00492686	0.00872823	0.00873353	0.00809787	0.00638422	0.00745832	0.00726065	0.00766045
MG115									0.00689239	0.00410953	0.00372155	0.0035626	0.00645587	0.00696648	0.00664589	0.0075601
MG117										0.00768943	0.00797064	0.00735497	0.00526656	0.00658677	0.00645953	0.00695517
MG120_G											0.00535263	0.00422186	0.00718671	0.00779903	0.00651772	0.00755588
MG120_C												0.00317842	0.00740447	0.00766179	0.00659528	0.00750844
MG120_GC													0.00684428	0.00710347	0.00637247	0.00730602
MG125														0.00556052	0.00636195	0.00691422
MG126															0.00682528	0.00750964
peru																0.00757306
