# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
na	1032	29.83062	11.13567	0.01499	0.94740	0.01422	0.00054	0.02087	0.00422	0.00029	0.97913	0.00422	0.00029	0.07123	0.02086	0.00065	0.92877	0.02086	0.00065	0.07246	0.02158	0.00066	0.17694	0.12441	0.01499
MG105	279	7.23411	1.30569	0.00513	0.99553	0.00121	0.00016	0.00855	0.00472	0.00031	0.99145	0.00472	0.00031	0.00647	0.00184	0.00019	0.99353	0.00184	0.00019	0.00704	0.00219	0.00021	-0.00239	0.00372	0.00513
MG106	363	2.84074	0.18228	0.00194	0.98811	0.00366	0.00027	0.01820	0.01040	0.00046	0.98180	0.01040	0.00046	0.01618	0.00613	0.00036	0.98382	0.00613	0.00036	0.02021	0.00985	0.00045	0.00371	0.00852	0.00194
MG107	449	9.50266	0.94949	0.00438	0.98102	0.00596	0.00035	0.01588	0.00582	0.00034	0.98412	0.00582	0.00034	0.02533	0.00892	0.00042	0.97467	0.00892	0.00042	0.02682	0.01000	0.00045	0.02546	0.02473	0.00438
MG111	617	13.07718	5.65391	0.01068	0.99521	0.00117	0.00015	0.00904	0.00445	0.00030	0.99096	0.00445	0.00030	0.00719	0.00174	0.00019	0.99281	0.00174	0.00019	0.00757	0.00195	0.00020	-0.00196	0.00472	0.01068
MG113	358	8.58563	2.27281	0.00677	0.98424	0.00491	0.00031	0.01146	0.00494	0.00032	0.98854	0.00494	0.00032	0.02121	0.00733	0.00038	0.97879	0.00733	0.00038	0.02263	0.00835	0.00041	0.02834	0.03093	0.00677
MG114	562	13.59092	3.14442	0.00796	0.98824	0.00306	0.00025	0.01268	0.00464	0.00031	0.98732	0.00464	0.00031	0.01713	0.00493	0.00032	0.98287	0.00493	0.00032	0.01783	0.00535	0.00033	0.01643	0.01971	0.00796
MG115	1011	15.94783	4.00030	0.00898	0.97792	0.00447	0.00030	0.01788	0.00588	0.00034	0.98212	0.00588	0.00034	0.03424	0.00854	0.00041	0.96576	0.00854	0.00041	0.03544	0.00916	0.00043	0.07375	0.06297	0.00898
MG117	289	11.65942	0.64416	0.00360	0.98596	0.00333	0.00026	0.01213	0.00529	0.00033	0.98787	0.00529	0.00033	0.02102	0.00600	0.00035	0.97898	0.00600	0.00035	0.02200	0.00658	0.00036	0.03561	0.03778	0.00360
MG120_G	543	17.78866	9.69878	0.01402	0.99252	0.00224	0.00021	0.01002	0.00572	0.00034	0.98998	0.00572	0.00034	0.01038	0.00314	0.00025	0.98962	0.00314	0.00025	0.01080	0.00344	0.00026	0.00539	0.01450	0.01402
MG120_C	82	6.20118	1.95663	0.00633	0.99564	0.00164	0.00018	0.00825	0.00628	0.00036	0.99175	0.00628	0.00036	0.00541	0.00206	0.00021	0.99459	0.00206	0.00021	0.00611	0.00270	0.00024	-0.00371	0.00450	0.00633
MG120_GC	264	8.09065	2.09960	0.00652	0.98509	0.00514	0.00032	0.01823	0.00971	0.00044	0.98177	0.00971	0.00044	0.01910	0.00731	0.00038	0.98090	0.00731	0.00038	0.02057	0.00850	0.00041	0.00702	0.01367	0.00652
MG125	303	9.60987	0.84910	0.00414	0.96469	0.01073	0.00047	0.02739	0.00905	0.00043	0.97261	0.00905	0.00043	0.04668	0.01609	0.00057	0.95332	0.01609	0.00057	0.04943	0.01807	0.00060	0.05559	0.04508	0.00414
MG126	120	4.57491	0.56298	0.00338	0.97209	0.00933	0.00044	0.01418	0.00678	0.00037	0.98582	0.00678	0.00037	0.03561	0.01361	0.00053	0.96439	0.01361	0.00053	0.04025	0.01745	0.00060	0.05406	0.05374	0.00338
peru	12865	97.29185	48.00022	0.03111	0.95196	0.00911	0.00043	0.01952	0.00408	0.00029	0.98048	0.00408	0.00029	0.07325	0.01547	0.00056	0.92675	0.01547	0.00056	0.07364	0.01564	0.00056	0.40536	0.19348	0.03111
ecu	2202	26.41160	4.11330	0.00911	0.93064	0.01481	0.00055	0.02608	0.00474	0.00031	0.97392	0.00474	0.00031	0.09948	0.02406	0.00070	0.90052	0.02406	0.00070	0.10142	0.02501	0.00071	0.30647	0.17999	0.00911
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant_Sites	Polymorphic_Sites	%Polymorphic_Loci	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
na	1032	3874587	49580	15425	0.39811	30.87389	9.18538	0.00154	0.99933	0.00022	0.00001	0.00027	0.00006	0.00000	0.99973	0.00006	0.00000	0.00091	0.00033	0.00001	0.99909	0.00033	0.00001	0.00093	0.00034	0.00001	0.00226	0.00199	0.00154
MG105	279	3871027	49558	1520	0.03927	7.66328	0.62274	0.00040	0.99994	0.00002	0.00000	0.00011	0.00006	0.00000	0.99989	0.00006	0.00000	0.00008	0.00002	0.00000	0.99992	0.00002	0.00000	0.00009	0.00003	0.00000	-0.00003	0.00005	0.00040
MG106	363	3860725	48580	2092	0.05419	2.85664	0.15428	0.00020	0.99985	0.00005	0.00000	0.00023	0.00013	0.00001	0.99977	0.00013	0.00001	0.00020	0.00008	0.00000	0.99980	0.00008	0.00000	0.00025	0.00013	0.00001	0.00005	0.00011	0.00020
MG107	449	3872853	49580	4434	0.11449	9.44611	1.00936	0.00051	0.99976	0.00008	0.00000	0.00020	0.00008	0.00000	0.99980	0.00008	0.00000	0.00032	0.00012	0.00001	0.99968	0.00012	0.00001	0.00034	0.00014	0.00001	0.00033	0.00032	0.00051
MG111	617	3871781	49523	2562	0.06617	14.10432	2.33944	0.00078	0.99994	0.00002	0.00000	0.00012	0.00006	0.00000	0.99988	0.00006	0.00000	0.00009	0.00002	0.00000	0.99991	0.00002	0.00000	0.00010	0.00003	0.00000	-0.00003	0.00006	0.00078
MG113	358	3872187	49577	3763	0.09718	9.32656	1.22800	0.00056	0.99980	0.00007	0.00000	0.00015	0.00006	0.00000	0.99985	0.00006	0.00000	0.00027	0.00010	0.00001	0.99973	0.00010	0.00001	0.00029	0.00011	0.00001	0.00036	0.00041	0.00056
MG114	562	3872888	49580	4730	0.12213	14.27730	1.65456	0.00065	0.99985	0.00004	0.00000	0.00016	0.00006	0.00000	0.99984	0.00006	0.00000	0.00022	0.00007	0.00000	0.99978	0.00007	0.00000	0.00023	0.00007	0.00000	0.00021	0.00026	0.00065
MG115	1011	3873966	49573	8540	0.22045	15.95598	2.76321	0.00084	0.99972	0.00006	0.00000	0.00023	0.00008	0.00000	0.99977	0.00008	0.00000	0.00044	0.00012	0.00001	0.99956	0.00012	0.00001	0.00045	0.00013	0.00001	0.00094	0.00087	0.00084
MG117	289	3873140	49580	4776	0.12331	11.65646	0.73795	0.00044	0.99982	0.00005	0.00000	0.00016	0.00007	0.00000	0.99984	0.00007	0.00000	0.00027	0.00008	0.00000	0.99973	0.00008	0.00000	0.00028	0.00009	0.00000	0.00046	0.00050	0.00044
MG120_G	543	3872133	49370	3282	0.08476	18.59797	3.95264	0.00101	0.99990	0.00003	0.00000	0.00013	0.00007	0.00000	0.99987	0.00007	0.00000	0.00013	0.00004	0.00000	0.99987	0.00004	0.00000	0.00014	0.00005	0.00000	0.00007	0.00019	0.00101
MG120_C	82	3867590	48777	854	0.02208	6.64866	0.55951	0.00038	0.99995	0.00002	0.00000	0.00010	0.00008	0.00000	0.99990	0.00008	0.00000	0.00007	0.00003	0.00000	0.99993	0.00003	0.00000	0.00008	0.00003	0.00000	-0.00005	0.00006	0.00038
MG120_GC	264	3871372	49401	2847	0.07354	8.67622	0.66787	0.00042	0.99981	0.00007	0.00000	0.00023	0.00013	0.00001	0.99977	0.00013	0.00001	0.00024	0.00010	0.00001	0.99976	0.00010	0.00001	0.00026	0.00011	0.00001	0.00009	0.00018	0.00042
MG125	303	3873996	49565	7219	0.18635	9.31930	1.60341	0.00064	0.99955	0.00015	0.00001	0.00035	0.00013	0.00001	0.99965	0.00013	0.00001	0.00060	0.00023	0.00001	0.99940	0.00023	0.00001	0.00063	0.00026	0.00001	0.00071	0.00062	0.00064
MG126	120	3833477	49225	4567	0.11913	4.40917	1.00336	0.00051	0.99964	0.00013	0.00001	0.00018	0.00009	0.00000	0.99982	0.00009	0.00000	0.00046	0.00019	0.00001	0.99954	0.00019	0.00001	0.00052	0.00024	0.00001	0.00069	0.00073	0.00051
peru	12865	3875026	49580	32820	0.84696	98.70250	38.95684	0.00317	0.99939	0.00015	0.00001	0.00025	0.00006	0.00000	0.99975	0.00006	0.00000	0.00094	0.00027	0.00001	0.99906	0.00027	0.00001	0.00094	0.00027	0.00001	0.00519	0.00455	0.00317
ecu	2202	3874845	49580	21773	0.56191	27.67907	4.84335	0.00112	0.99911	0.00025	0.00001	0.00033	0.00007	0.00000	0.99967	0.00007	0.00000	0.00127	0.00043	0.00001	0.99873	0.00043	0.00001	0.00130	0.00045	0.00001	0.00392	0.00349	0.00112
